Unnamed: 0,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Antal antagna som påbörjat studier,14 652,15 298,16 572,16 792,16 855,15 801,17 697,18 442,18 334,19 600,20 642,23 052,28 561,36 162,33 282,33 494,35 210,35 426
därav andel kvinnor i procent,55,56,52,51,51,52,52,52,51,54,55,56,55,53,53,53,51,50
därav andel män i procent,45,44,48,49,49,48,48,48,49,46,45,44,45,47,47,47,49,50
Antal studerande,33 684,36 657,39 417,41 597,42 484,40 754,42 596,44 929,46 633,47 983,50 373,52 741,61 393,75 371,82 753,84 871,84 560,87 225
därav andel kvinnor i procent,55,55,54,52,51,51,52,52,52,52,53,55,55,54,53,53,52,51
därav andel män i procent,45,45,46,48,49,49,48,48,48,48,47,45,45,46,47,47,48,49
Antal examinerade,7 830,8 968,9 907,10 510,12 081,10 885,11 393,11 597,13 129,12 920,13 279,13 603,14 628,17 236,19 944,23 930,22 304,..
därav andel kvinnor i procent,58,61,58,58,54,55,54,55,57,56,56,57,59,60,58,57,57,..
därav andel män i procent,42,39,42,42,46,45,46,45,43,44,44,43,41,40,42,43,43,..
Examensgrad,628,647,670,669,690,705,708,721,737,741,730,727,716,723,703,675,677,..
"Examensgrad, kvinnor",679,696,719,712,733,760,758,776,785,799,788,786,768,764,749,724,728,..
"Examensgrad, män",570,585,612,618,644,648,658,663,682,676,666,660,653,670,649,620,619,..
